code,name,market
219A,Ｈｅａｒｔｓｅｅｄ,3
2201,森永製菓,1
2204,中村屋,2
2206,江崎グリコ,1
2207,名糖産業,1
2208,ブルボン,2
2209,井村屋グループ,1
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,2
2211,不二家,1
2212,山崎製パン,1
2215,第一屋製パン,2
2216,カンロ,2
2217,モロゾフ,1
221A,ＭＡＸＩＳ日経半導体株上場投信,11
2220,亀田製菓,1
2221,岩塚製菓,2
2222,寿スピリッツ,1
2224,コモ,2
2226,湖池屋,2
2229,カルビー,1
2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし,11
2236,グローバルＸ　Ｓ＆Ｐ５００配当貴族ＥＴＦ,11
2237,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ,11
2238,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース,11
2239,上場インデックスファンドＳ＆Ｐ５００先物レバレッジ２倍,11
223A,グローバルＸ　ＡＩ＆ビッグデータ　ＥＴＦ,11
2240,上場インデックスファンドＳ＆Ｐ５００先物インバース,11
2241,ＭＡＸＩＳ　ＮＹダウ上場投信,11
